index,timestamp,x,y,z,yaw,velocity
0,1.75279e+09,-62.8002,-12.2438,0.837984,1.5707,0.285846
1,1.75279e+09,-62.8004,-12.0695,0.8313,1.57067,0.399432
2,1.75279e+09,-62.7991,-11.8434,0.82496,1.56909,0.406494
3,1.75279e+09,-62.7936,-11.6486,0.822889,1.56544,0.376885
4,1.75279e+09,-62.7907,-11.4565,0.822477,1.56402,0.417986
5,1.75279e+09,-62.7874,-11.2142,0.823943,1.56277,0.537955
6,1.75279e+09,-62.7825,-10.8979,0.827497,1.56136,0.8642
7,1.75279e+09,-62.7742,-10.4131,0.827536,1.55872,1.01929
8,1.75279e+09,-62.7636,-9.87178,0.825058,1.55629,1.05756
9,1.75279e+09,-62.7523,-9.35015,0.823789,1.55454,1.03907
10,1.75279e+09,-62.7393,-8.81089,0.823457,1.55173,1.03288
11,1.75279e+09,-62.7269,-8.33982,0.823303,1.54932,1.01981
12,1.75279e+09,-62.7121,-7.83129,0.823423,1.54685,1.01756
13,1.75279e+09,-62.6958,-7.31693,0.82399,1.544,1.04692
14,1.75279e+09,-62.6774,-6.78473,0.82465,1.54133,1.13073
15,1.75279e+09,-62.6473,-5.9999,0.834564,1.53861,1.86487
16,1.75279e+09,-62.6058,-5.04792,0.82901,1.53346,1.84319
17,1.75279e+09,-62.5533,-4.17685,0.824008,1.51949,1.66315
18,1.75279e+09,-62.4914,-3.44948,0.822756,1.5042,1.52042
19,1.75279e+09,-62.4205,-2.64188,0.823123,1.49494,1.48782
20,1.75279e+09,-62.3514,-1.91281,0.82335,1.48678,1.43913
21,1.75279e+09,-62.2822,-1.23468,0.8235,1.47919,1.4104
22,1.75279e+09,-62.2005,-0.521588,0.823606,1.46843,1.35464
23,1.75279e+09,-62.1172,0.106308,0.823078,1.45652,1.29739
24,1.75279e+09,-62.0275,0.745167,0.823386,1.44668,1.28509
25,1.75279e+09,-61.9278,1.40977,0.824986,1.43623,1.38359
26,1.75279e+09,-61.778,2.3236,0.833377,1.42255,1.99027
27,1.75279e+09,-61.6301,3.24354,0.827736,1.41979,1.86432
28,1.75279e+09,-61.5034,4.10145,0.823862,1.42113,1.75152
29,1.75279e+09,-61.3763,4.95685,0.823528,1.42181,1.69854
30,1.75279e+09,-61.251,5.79932,0.824628,1.42226,1.72411
